Datum;Zeit;Temperatur;Einheit;Sollwert;Einheit;P-Ausgabe;Einheit
13.12.2021;14:11:01,331561;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,332435;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,333309;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,334183;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,335114;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,336045;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,336976;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,337907;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,338838;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,339769;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,340700;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,341631;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,342562;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,343493;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,344424;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,345355;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,346286;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,347217;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,348148;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,349013;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,349879;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,350745;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,351611;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,352476;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,353341;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,354207;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,355073;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,355938;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,356804;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,357670;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,358535;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,359401;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,360267;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,361132;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,361997;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,362862;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,363727;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,364592;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,365457;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,366322;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,367187;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,368052;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,368917;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,369782;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,370647;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,371513;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,372378;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,373243;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,374108;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,375033;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,375959;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,376885;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,377811;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,378737;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,379663;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,380588;549,9;°C;550,0;°C;50,0;%
